Zip Code,latitude,longitude,City,state,Store Number,Sales,Orders,Sales Forecast,Orders Forecast,Setup Cost,Decision
985,18.41077,-65.947928,Carolina,PR,K6,105482,30941,283453,31956,166409,0
987,18.338161,-65.941083,Carolina,PR,L6,164918,44869,178493,39612,129965,0
1001,42.062368,-72.625754,Agawam,MA,M6,102657,13565,376310,48034,186587,0
1002,42.364061,-72.458739,Amherst,MA,N6,240403,15677,273842,31148,114657,1
1003,42.389941,-72.524108,Amherst,MA,O6,168123,45480,341745,31231,180183,0
1005,42.418848,-72.106598,Barre,MA,P6,224357,45932,263601,46323,77748,1
1007,42.27901,-72.400468,Belchertown,MA,Q6,189422,12537,250557,18071,123626,0
1008,42.190144,-72.95435,Blandford,MA,R6,181491,34817,139437,27096,76713,0
1009,42.211969,-72.341433,Bondsville,MA,S6,341231,45807,172948,34442,137784,1
1010,42.128176,-72.205352,Brimfield,MA,T6,163300,34500,120040,20970,40791,0
1011,42.300281,-72.968716,Chester,MA,U6,190444,10206,164299,25655,168339,0
1012,42.375425,-72.858192,Chesterfield,MA,V6,322563,31488,214061,28867,145055,1
1013,42.154904,-72.602804,Chicopee,MA,W6,200726,10049,310280,38066,191291,1
1020,42.172602,-72.562073,Chicopee,MA,X6,100337,44079,256025,15963,35772,0
1022,42.197741,-72.542713,Chicopee,MA,Y6,129856,45123,122309,23413,52356,0
1026,42.465495,-72.918267,Cummington,MA,Z6,222739,38526,123716,33382,199807,1
1027,42.295008,-72.751877,Easthampton,MA,A7,388939,39414,200076,49915,54799,1
1028,42.062378,-72.498111,East Longmeadow,MA,B7,333963,27270,282868,13412,182265,1
1029,42.193395,-73.044647,East Otis,MA,C7,258536,33652,221662,36674,69911,1
1030,42.072925,-72.686972,Feeding Hills,MA,D7,306959,33884,267261,46205,87987,1
1031,42.329399,-72.198187,Gilbertville,MA,E7,272936,41371,100634,19723,53949,1
1032,42.457613,-72.81478,Goshen,MA,F7,181064,24961,380021,20748,24859,0
1033,42.244949,-72.500143,Granby,MA,G7,220615,22404,218373,17686,72715,1
1034,42.098676,-72.961564,Granville,MA,H7,217856,31257,351111,18853,139803,1
1035,42.356491,-72.568632,Hadley,MA,I7,264145,47125,262163,30269,36086,1
1036,42.062946,-72.417297,Hampden,MA,J7,165356,44928,291316,31257,112813,0
1037,42.372728,-72.195412,Hardwick,MA,K7,382280,48780,369039,20994,199275,1
1038,42.385496,-72.606929,Hatfield,MA,L7,332638,26299,100662,11712,119863,1
1039,42.404278,-72.688922,Haydenville,MA,M7,168481,24731,233837,11466,196966,0
1040,42.211656,-72.642448,Holyoke,MA,N7,210105,42678,266776,29041,112674,1
1050,42.286762,-72.869695,Huntington,MA,O7,128657,12350,320075,15394,75239,0
1053,42.356301,-72.713584,Leeds,MA,P7,256912,31210,280001,36532,58016,1
1054,42.468898,-72.484579,Leverett,MA,Q7,361391,30606,359140,30655,11686,1
1056,42.183577,-72.457812,Ludlow,MA,R7,320444,25143,327632,10147,48645,1
1057,42.093596,-72.321494,Monson,MA,S7,306273,27011,104891,23030,151795,1
1060,42.321488,-72.630588,Northampton,MA,T7,133306,32190,281853,46607,84679,0
1062,42.328308,-72.703924,Florence,MA,U7,355466,44721,296644,46412,38408,1
1063,42.318882,-72.63853,Northampton,MA,V7,299408,10670,145740,13063,102497,1
1066,42.406903,-72.655018,North Hatfield,MA,W7,267464,31963,185291,32307,58069,1
1068,42.350862,-72.044248,Oakham,MA,X7,267791,39214,251950,39850,127355,1
1069,42.187794,-72.308469,Palmer,MA,Y7,268787,41151,124668,41494,99193,1
1070,42.518446,-72.919017,Plainfield,MA,Z7,228983,17402,358003,30387,67701,1
1071,42.16006,-72.873853,Russell,MA,A8,320089,19702,244510,22348,54184,1
1072,42.456968,-72.417244,Shutesbury,MA,B8,303239,32711,346614,49603,83852,1
1073,42.226949,-72.741588,Southampton,MA,C8,136511,48494,383806,49141,100566,0
1074,42.387603,-72.09323,South Barre,MA,D8,154388,27371,135675,46248,37507,0
1075,42.256208,-72.58103,South Hadley,MA,E8,158570,29355,180937,24577,162219,0
1077,42.05257,-72.777353,Southwick,MA,F8,141643,30948,110981,49234,199803,0
1079,42.197913,-72.329709,Thorndike,MA,G8,146244,39325,274098,11946,142352,0
1080,42.185727,-72.361558,Three Rivers,MA,H8,257054,33261,314751,11613,51678,1
1081,42.061313,-72.234411,Wales,MA,I8,139520,38287,212843,37892,54305,0
1082,42.293533,-72.278599,Ware,MA,J8,211182,13786,223221,14963,114606,1
1083,42.203642,-72.194599,Warren,MA,K8,121149,15728,173188,34703,171820,0
1084,42.39237,-72.882235,West Chesterfield,MA,L8,136799,48624,156664,10385,104910,0
1085,42.153503,-72.771602,Westfield,MA,M8,126464,13635,228709,27798,146584,0
1086,42.130446,-72.793967,Westfield,MA,N8,197236,28239,115458,42797,112068,0
1088,42.391709,-72.646494,West Hatfield,MA,O8,196614,18850,304577,39050,31585,0
1089,42.125451,-72.649734,West Springfield,MA,P8,369497,23913,254454,29090,42473,1
1092,42.191868,-72.235108,West Warren,MA,Q8,362555,42583,259431,44800,131049,1
1093,42.441943,-72.661817,Whately,MA,R8,389655,43487,318631,15895,86842,1
1094,42.359108,-72.1368,Wheelwright,MA,S8,291565,27718,362727,30588,96283,1
1095,42.138499,-72.420715,Wilbraham,MA,T8,219330,27179,257014,37515,71386,1
1096,42.39714,-72.763572,Williamsburg,MA,U8,368923,36070,281686,38816,194752,1
1097,42.178038,-72.832612,Woronoco,MA,V8,382866,49535,255589,20812,138524,1
1098,42.394315,-72.943115,Worthington,MA,W8,231357,41766,285702,33699,109468,1
1103,42.104106,-72.592027,Springfield,MA,X8,341950,45019,109115,32162,56314,1
1104,42.134009,-72.565378,Springfield,MA,Y8,119266,26463,190646,18062,101283,0
1105,42.099958,-72.580765,Springfield,MA,Z8,280852,28059,320467,14404,189145,1
1106,42.047565,-72.57113,Longmeadow,MA,A9,265912,24411,296801,34609,66174,1
1107,42.12106,-72.607068,Springfield,MA,B9,211730,49458,273490,47304,148779,1
1108,42.080692,-72.560791,Springfield,MA,C9,234669,44471,369172,11153,12679,1
1109,42.119674,-72.549726,Springfield,MA,D9,362322,20850,276699,34634,51443,1
1118,42.094194,-72.525081,Springfield,MA,E9,147737,44330,124881,37554,64454,0
1119,42.124978,-72.51121,Springfield,MA,F9,246454,32031,200479,30312,108810,1
1128,42.092296,-72.489135,Springfield,MA,G9,378583,37532,255052,31076,35108,1
1129,42.11869,-72.4882,Springfield,MA,H9,192900,38909,276455,44192,26419,0
1151,42.15186,-72.509131,Indian Orchard,MA,I9,228913,27761,384635,20730,91131,1
1199,42.120563,-72.604468,Springfield,MA,J9,191787,10352,340633,31777,151719,0
1201,42.448236,-73.273727,Pittsfield,MA,K9,167931,45067,274187,20394,76043,0
1220,42.623799,-73.116736,Adams,MA,L9,278963,19962,370717,25174,41404,1
1222,42.058703,-73.322175,Ashley Falls,MA,M9,281494,13208,331582,21272,136999,1
1223,42.312225,-73.110124,Becket,MA,N9,158485,24939,168236,41846,184826,0
1224,42.513163,-73.195743,Berkshire,MA,O9,394577,42100,267492,22792,37962,1
1225,42.563401,-73.153335,Cheshire,MA,P9,360610,12690,147518,19776,121315,1
1226,42.481119,-73.135073,Dalton,MA,Q9,203372,14256,352388,26256,74575,1
1229,42.276338,-73.335896,Glendale,MA,R9,274373,49747,327091,24509,76254,1
1230,42.173192,-73.324283,Great Barrington,MA,S9,330036,27353,368265,36611,58521,1
1235,42.425676,-73.063012,Hinsdale,MA,T9,349019,32264,341046,44390,122694,1
1236,42.266496,-73.378393,Housatonic,MA,U9,105207,45356,352268,15425,175415,0
1237,42.547818,-73.268033,Lanesboro,MA,V9,330596,41124,332618,44394,40374,1
1238,42.297501,-73.230148,Lee,MA,W9,346116,21180,297087,28122,24645,1
1240,42.367858,-73.269763,Lenox,MA,X9,153427,33383,388839,46216,198043,0
1242,42.333734,-73.249199,Lenox Dale,MA,Y9,142627,20404,114376,49946,80611,0
1243,42.350122,-73.024112,Middlefield,MA,Z9,339914,29207,100951,13695,145113,1
1244,42.118094,-73.257497,Mill River,MA,A10,254118,27671,268199,28039,52133,1
1245,42.186893,-73.223105,Monterey,MA,B10,337838,28430,233956,25754,70888,1
1247,42.698526,-73.0843,North Adams,MA,C10,153646,25910,170371,34717,193292,0
1253,42.206683,-73.113214,Otis,MA,D10,223019,23024,124131,46305,31505,1
1254,42.382019,-73.365492,Richmond,MA,E10,300706,12351,118892,47998,42351,1
1255,42.107496,-73.118607,Sandisfield,MA,F10,122395,20667,186852,17399,187537,0
1256,42.594166,-73.02232,Savoy,MA,G10,138474,11979,270766,41921,152719,0
1257,42.085244,-73.367483,Sheffield,MA,H10,324758,24626,140239,20470,190281,1
1258,42.10928,-73.462886,South Egremont,MA,I10,115469,29119,228636,47423,182361,0
1259,42.075469,-73.234376,Southfield,MA,J10,182146,37247,394717,45275,167575,0
1260,42.295696,-73.342543,South Lee,MA,K10,285040,17676,354734,22714,177893,1
1262,42.292202,-73.319209,Stockbridge,MA,L10,240762,33834,208972,46464,103790,1
1264,42.23159,-73.202428,Tyringham,MA,M10,374691,28834,100399,27380,39527,1
1266,42.312354,-73.388044,West Stockbridge,MA,N10,178543,21071,388197,45436,167897,0
1267,42.671617,-73.246981,Williamstown,MA,O10,326245,12096,158417,14825,119563,1
1270,42.515272,-73.031166,Windsor,MA,P10,150300,13354,350640,32472,84921,0
1301,42.626761,-72.60153,Greenfield,MA,Q10,389397,31066,300716,13988,55904,1
1330,42.513947,-72.821517,Ashfield,MA,R10,105650,20005,174740,15923,120275,0
1331,42.562408,-72.19108,Athol,MA,S10,292128,34243,260220,19117,18711,1
1337,42.689307,-72.582249,Bernardston,MA,T10,302324,40879,259055,28387,25373,1
1338,42.572604,-72.824306,Buckland,MA,U10,230289,28113,231959,15692,55981,1
1339,42.603776,-72.889644,Charlemont,MA,V10,239342,20614,394012,42101,147074,1
1340,42.694731,-72.710956,Colrain,MA,W10,255336,22018,106178,35561,148081,1
1341,42.496937,-72.709414,Conway,MA,X10,105147,32725,172738,12946,197226,0
1342,42.543889,-72.609458,Deerfield,MA,Y10,326496,19145,106981,14766,148375,1
1343,42.657625,-72.978933,Drury,MA,Z10,253373,41566,125614,12300,42394,1
1344,42.613418,-72.426427,Erving,MA,A11,245876,11151,109290,46369,183545,1
1346,42.693275,-72.823113,Heath,MA,B11,213904,27463,304820,41019,59379,1
1347,42.559294,-72.518753,Lake Pleasant,MA,C11,315662,44760,174096,37752,123342,1
1349,42.563061,-72.482122,Millers Falls,MA,D11,395506,14402,105826,12273,121276,1
1350,42.727772,-72.985346,Monroe Bridge,MA,E11,265424,17915,263220,12963,122343,1
1351,42.53988,-72.521689,Montague,MA,F11,250893,23354,292363,27467,127619,1
1354,42.624076,-72.508643,Gill,MA,G11,235233,41331,192805,10771,185569,1
1355,42.458551,-72.327191,New Salem,MA,H11,115926,43531,138982,45849,23440,0
1360,42.677091,-72.453876,Northfield,MA,I11,212331,45545,195161,34260,17544,1
1364,42.605437,-72.292074,Orange,MA,J11,381876,22617,148240,32392,77491,1
1366,42.475621,-72.192468,Petersham,MA,K11,170295,49039,380490,20547,10463,0
1367,42.695532,-72.909148,Rowe,MA,L11,126270,49780,219245,15953,185089,0
1368,42.679456,-72.176935,Royalston,MA,M11,118164,46521,186633,14848,75280,0
1370,42.593338,-72.726941,Shelburne Falls,MA,N11,361448,35711,138910,25331,10293,1
1373,42.475481,-72.615403,South Deerfield,MA,O11,216352,15472,157276,38855,69424,1
1375,42.466691,-72.546751,Sunderland,MA,P11,117142,48681,390685,12121,32065,0
1376,42.59528,-72.555002,Turners Falls,MA,Q11,372048,41770,252148,39442,99850,1
1378,42.673533,-72.353213,Warwick,MA,R11,105931,41084,328918,18913,60523,0
1379,42.55631,-72.407148,Wendell,MA,S11,362449,26044,263051,32932,46957,1
1420,42.584925,-71.816862,Fitchburg,MA,T11,337714,41551,237701,43753,163641,1
1430,42.657005,-71.923442,Ashburnham,MA,U11,272629,19222,231908,49399,132650,1
1431,42.676293,-71.832523,Ashby,MA,V11,258689,39729,390574,34017,177400,1
1432,42.566573,-71.575135,Ayer,MA,W11,339637,14129,168770,36560,88240,1
1434,42.538903,-71.612027,Devens,MA,X11,397772,28343,351739,49983,122060,1
1436,42.602059,-72.087015,Baldwinville,MA,Y11,335374,40901,237459,46244,99169,1
1438,42.562243,-72.031402,East Templeton,MA,Z11,289129,42708,134213,31328,168987,1
1440,42.584206,-71.988737,Gardner,MA,A12,129063,30839,193033,24282,180506,0
1450,42.61176,-71.565269,Groton,MA,B12,353090,33271,396507,11256,15171,1
1451,42.501908,-71.568201,Harvard,MA,C12,218055,15483,178293,17544,13954,1
1452,42.489598,-72.002878,Hubbardston,MA,D12,219233,46657,336908,42750,155920,1
1453,42.519977,-71.763202,Leominster,MA,E12,368715,36956,323946,13921,112527,1
1460,42.535931,-71.490569,Littleton,MA,F12,224575,20086,150355,39539,155247,1
1462,42.582607,-71.720464,Lunenburg,MA,G12,347342,18167,186652,30130,177227,1
1463,42.670643,-71.602858,Pepperell,MA,H12,140163,15827,388791,40263,137180,0
1464,42.573654,-71.640986,Shirley,MA,I12,169349,25365,154867,36571,20640,0
1467,42.489646,-71.609577,Still River,MA,J12,240260,10213,157491,12802,188222,1
1468,42.542767,-72.068345,Templeton,MA,K12,213155,34939,311234,23475,117026,1
1469,42.664828,-71.695087,Townsend,MA,L12,233961,37790,235166,30882,130633,1
1473,42.5546,-71.90544,Westminster,MA,M12,157531,25045,347393,36549,62434,0
1474,42.669685,-71.752751,West Townsend,MA,N12,394858,28985,118143,44185,156084,1
1475,42.66816,-72.055644,Winchendon,MA,O12,310753,32276,106188,14610,27446,1
1501,42.198708,-71.846006,Auburn,MA,P12,265526,16332,211162,27371,105347,1
1503,42.384929,-71.633889,Berlin,MA,Q12,246851,30538,366906,10552,198109,1
1504,42.039991,-71.532406,Blackstone,MA,R12,373068,22464,366381,43379,29409,1
1505,42.355049,-71.716157,Boylston,MA,S12,120210,41404,190668,16719,40282,0
1506,42.180788,-72.107891,Brookfield,MA,T12,156609,43487,361679,49985,98023,0
1507,42.133935,-71.968025,Charlton,MA,U12,339428,31841,109319,29291,158537,1
1510,42.411887,-71.690005,Clinton,MA,V12,235359,25631,150190,43742,125747,1
1515,42.209682,-72.040178,East Brookfield,MA,W12,244496,41165,365783,19352,62764,1
1516,42.053072,-71.752241,Douglas,MA,X12,115220,20901,181214,34817,104793,0
1518,42.127477,-72.118818,Fiskdale,MA,Y12,363156,47361,186574,24371,41283,1
1519,42.203404,-71.679739,Grafton,MA,Z12,332112,43924,220607,42291,146484,1
1520,42.336372,-71.850626,Holden,MA,A13,210545,49868,371041,39152,130445,1
1521,42.046799,-72.180144,Holland,MA,B13,106150,20142,214205,47886,49950,0
1522,42.375634,-71.867382,Jefferson,MA,C13,312985,37732,353997,49898,51686,1
1523,42.483569,-71.675585,Lancaster,MA,D13,121303,44800,359701,13432,94167,0
1524,42.249603,-71.919217,Leicester,MA,E13,170635,30109,160891,44086,114751,0
1525,42.106794,-71.630518,Linwood,MA,F13,203381,20829,163248,28045,169927,1
1527,42.192246,-71.777649,Millbury,MA,G13,131998,16218,279277,41528,19471,0
1529,42.036642,-71.578779,Millville,MA,H13,111440,26529,364851,46440,109901,0
1531,42.319125,-72.130814,New Braintree,MA,I13,302790,37093,115633,18604,135334,1
1532,42.323342,-71.646236,Northborough,MA,J13,198158,22421,332084,20919,152947,0
1534,42.142074,-71.643348,Northbridge,MA,K13,191680,27740,394700,18627,24664,0
1535,42.267564,-72.066876,North Brookfield,MA,L13,170520,22100,305513,16294,160769,0
1536,42.231309,-71.692642,North Grafton,MA,M13,201508,42677,391670,39622,153011,1
1537,42.158966,-71.897051,North Oxford,MA,N13,348681,12256,340901,37703,195618,1
1540,42.116263,-71.857465,Oxford,MA,O13,203182,44110,130963,26811,195383,1
